Sl.no,Date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
481,01-05-2021,Madhya Pradesh,2-Wheelers,1,6302
482,01-05-2021,Meghalaya,4-Wheelers,1,88
483,01-06-2021,Assam,4-Wheelers,1,3842
484,01-06-2021,DNH and DD,4-Wheelers,1,234
485,01-06-2021,Himachal Pradesh,4-Wheelers,1,3193
486,01-06-2021,Jammu and Kashmir,4-Wheelers,1,4469
487,01-06-2021,Tripura,2-Wheelers,1,1523
488,01-07-2021,Jammu and Kashmir,4-Wheelers,1,5336
489,01-07-2021,Meghalaya,4-Wheelers,1,759
490,01-08-2021,Andaman & Nicobar Island,4-Wheelers,1,110
491,01-08-2021,Puducherry,4-Wheelers,1,837
492,01-09-2021,DNH and DD,2-Wheelers,1,666
493,01-09-2021,Himachal Pradesh,4-Wheelers,1,3379
494,01-09-2021,Jammu and Kashmir,4-Wheelers,1,3773
495,01-09-2021,Nagaland,2-Wheelers,1,578
496,01-10-2021,Andaman & Nicobar Island,4-Wheelers,1,70
497,01-10-2021,DNH and DD,2-Wheelers,1,628
498,01-10-2021,DNH and DD,4-Wheelers,1,333
499,01-10-2021,Himachal Pradesh,4-Wheelers,1,3201
500,01-11-2021,DNH and DD,2-Wheelers,1,938
501,01-11-2021,Puducherry,4-Wheelers,1,532
502,01-12-2021,Andaman & Nicobar Island,4-Wheelers,1,122
503,01-12-2021,DNH and DD,4-Wheelers,1,336
504,01-12-2021,Himachal Pradesh,4-Wheelers,1,4105
505,01-12-2021,Tripura,2-Wheelers,1,3579
506,01-02-2022,DNH and DD,4-Wheelers,1,354
507,01-02-2022,Meghalaya,4-Wheelers,1,917
508,01-03-2022,DNH and DD,4-Wheelers,1,355
509,01-04-2022,Andaman & Nicobar Island,4-Wheelers,1,147
510,01-04-2022,DNH and DD,4-Wheelers,1,431
511,01-04-2022,Manipur,2-Wheelers,1,1246
512,01-04-2022,Manipur,4-Wheelers,1,813
513,01-04-2022,Meghalaya,4-Wheelers,1,860
514,01-05-2022,DNH and DD,4-Wheelers,1,374
515,01-05-2022,Mizoram,2-Wheelers,1,1638
516,01-05-2022,Nagaland,2-Wheelers,1,514
517,01-06-2022,DNH and DD,2-Wheelers,1,767
518,01-06-2022,Meghalaya,4-Wheelers,1,1087
519,01-07-2022,Arunachal Pradesh,4-Wheelers,1,947
520,01-07-2022,Ladakh,4-Wheelers,1,285
521,01-07-2022,Mizoram,2-Wheelers,1,1427
522,01-08-2022,DNH and DD,4-Wheelers,1,303
523,01-09-2022,DNH and DD,4-Wheelers,1,390
524,01-09-2022,Manipur,2-Wheelers,1,2473
525,01-09-2022,Meghalaya,2-Wheelers,1,1719
526,01-10-2022,Meghalaya,4-Wheelers,1,1188
527,01-11-2022,Andaman & Nicobar Island,4-Wheelers,1,159
528,01-12-2022,Arunachal Pradesh,2-Wheelers,1,925
529,01-12-2022,Meghalaya,2-Wheelers,1,1180
530,01-12-2022,Punjab,4-Wheelers,1,13085
531,01-01-2023,DNH and DD,4-Wheelers,1,360
532,01-01-2023,Ladakh,2-Wheelers,1,20
533,01-01-2023,Meghalaya,4-Wheelers,1,1271
534,01-03-2023,Andaman & Nicobar Island,2-Wheelers,1,373
535,01-03-2023,Andaman & Nicobar Island,4-Wheelers,1,162
536,01-03-2023,Meghalaya,2-Wheelers,1,1907
537,01-04-2023,Andaman & Nicobar Island,4-Wheelers,1,122
538,01-04-2023,Arunachal Pradesh,4-Wheelers,1,892
539,01-04-2023,DNH and DD,4-Wheelers,1,407
540,01-04-2023,Nagaland,4-Wheelers,1,687
541,01-04-2023,Tripura,4-Wheelers,1,299
542,01-05-2023,Arunachal Pradesh,2-Wheelers,1,1193
543,01-06-2023,Andaman & Nicobar Island,4-Wheelers,1,136
544,01-06-2023,DNH and DD,4-Wheelers,1,370
545,01-06-2023,Meghalaya,2-Wheelers,1,1969
546,01-07-2023,Ladakh,2-Wheelers,1,117
547,01-07-2023,Nagaland,2-Wheelers,1,599
548,01-07-2023,Nagaland,4-Wheelers,1,739
549,01-08-2023,DNH and DD,4-Wheelers,1,357
550,01-09-2023,Andaman & Nicobar Island,4-Wheelers,1,148
551,01-09-2023,Nagaland,2-Wheelers,1,531
552,01-10-2023,Andaman & Nicobar Island,2-Wheelers,1,404
553,01-10-2023,Andaman & Nicobar Island,4-Wheelers,1,191
554,01-10-2023,Meghalaya,2-Wheelers,1,1776
555,01-10-2023,Meghalaya,4-Wheelers,1,1354
556,01-11-2023,Andaman & Nicobar Island,4-Wheelers,1,170
557,01-11-2023,Nagaland,2-Wheelers,1,634
558,01-11-2023,Nagaland,4-Wheelers,1,860
559,01-12-2023,Meghalaya,2-Wheelers,1,1518
560,01-12-2023,Meghalaya,4-Wheelers,1,1060
561,01-01-2024,Mizoram,4-Wheelers,1,513
562,01-01-2024,Meghalaya,4-Wheelers,1,1429
563,01-02-2024,Andaman & Nicobar Island,4-Wheelers,1,181
564,01-02-2024,Nagaland,4-Wheelers,1,822
565,01-03-2024,Andaman & Nicobar Island,4-Wheelers,1,158
566,01-03-2024,Arunachal Pradesh,4-Wheelers,1,1081
567,01-04-2021,Andaman & Nicobar Island,4-Wheelers,9,168
568,01-04-2021,Andhra Pradesh,4-Wheelers,26,7837
569,01-04-2021,Bihar,4-Wheelers,4,5731
570,01-04-2021,Chandigarh,4-Wheelers,2,1426
571,01-04-2021,Delhi,4-Wheelers,61,8076
572,01-04-2021,Goa,4-Wheelers,8,1442
573,01-04-2021,Gujarat,4-Wheelers,44,17386
574,01-04-2021,Haryana,4-Wheelers,3,15476
575,01-04-2021,Jharkhand,4-Wheelers,3,3425
576,01-04-2021,Karnataka,4-Wheelers,90,16864
577,01-04-2021,Kerala,4-Wheelers,132,23660
578,01-04-2021,Madhya Pradesh,4-Wheelers,2,5356
579,01-04-2021,Maharashtra,4-Wheelers,96,16829
580,01-04-2021,Odisha,4-Wheelers,5,5101
581,01-04-2021,Punjab,4-Wheelers,4,8955
582,01-04-2021,Rajasthan,4-Wheelers,22,10647
583,01-04-2021,Tamil Nadu,4-Wheelers,75,18826
584,01-04-2021,Uttar Pradesh,4-Wheelers,4,23056
585,01-04-2021,Uttarakhand,4-Wheelers,10,2728
586,01-04-2021,West Bengal,4-Wheelers,24,7640
587,01-05-2021,Andhra Pradesh,4-Wheelers,16,5831
588,01-05-2021,Goa,4-Wheelers,4,393
589,01-05-2021,Gujarat,4-Wheelers,29,15959
590,01-05-2021,Karnataka,4-Wheelers,2,646
591,01-05-2021,Kerala,4-Wheelers,48,5164
592,01-05-2021,Maharashtra,4-Wheelers,121,13528
593,01-05-2021,Puducherry,4-Wheelers,2,119
594,01-05-2021,Rajasthan,4-Wheelers,7,2756
595,01-05-2021,Tamil Nadu,4-Wheelers,14,3413
596,01-05-2021,Uttar Pradesh,4-Wheelers,3,14016
597,01-05-2021,West Bengal,4-Wheelers,6,3962
598,01-06-2021,Andhra Pradesh,4-Wheelers,39,6098
599,01-06-2021,Bihar,4-Wheelers,4,5692
600,01-06-2021,Chandigarh,4-Wheelers,12,2050
601,01-06-2021,Chhattisgarh,4-Wheelers,5,4526
602,01-06-2021,Delhi,4-Wheelers,148,12914
603,01-06-2021,Goa,4-Wheelers,14,749
604,01-06-2021,Gujarat,4-Wheelers,61,19359
605,01-06-2021,Haryana,4-Wheelers,4,13420
606,01-06-2021,Jharkhand,4-Wheelers,4,4405
607,01-06-2021,Karnataka,4-Wheelers,71,8030
608,01-06-2021,Kerala,4-Wheelers,140,10018
609,01-06-2021,Madhya Pradesh,4-Wheelers,13,12092
610,01-06-2021,Maharashtra,4-Wheelers,190,24817
611,01-06-2021,Odisha,4-Wheelers,2,3041
612,01-06-2021,Punjab,4-Wheelers,3,7126
613,01-06-2021,Rajasthan,4-Wheelers,34,12070
614,01-06-2021,Tamil Nadu,4-Wheelers,42,7793
615,01-06-2021,Uttar Pradesh,4-Wheelers,3,25704
616,01-06-2021,Uttarakhand,4-Wheelers,7,2972
617,01-06-2021,West Bengal,4-Wheelers,18,6316
618,01-07-2021,Andaman & Nicobar Island,4-Wheelers,8,176
619,01-07-2021,Andhra Pradesh,4-Wheelers,36,7877
620,01-07-2021,Bihar,4-Wheelers,5,5438
621,01-07-2021,Chandigarh,4-Wheelers,9,1916
622,01-07-2021,Chhattisgarh,4-Wheelers,12,4916
623,01-07-2021,Delhi,4-Wheelers,131,15033
624,01-07-2021,Goa,4-Wheelers,10,982
625,01-07-2021,Gujarat,4-Wheelers,53,23792
626,01-07-2021,Haryana,4-Wheelers,6,14524
627,01-07-2021,Himachal Pradesh,4-Wheelers,2,3811
628,01-07-2021,Jharkhand,4-Wheelers,4,5020
629,01-07-2021,Karnataka,4-Wheelers,196,21640
630,01-07-2021,Kerala,4-Wheelers,139,18406
631,01-07-2021,Madhya Pradesh,4-Wheelers,17,14581
632,01-07-2021,Maharashtra,4-Wheelers,286,38063
633,01-07-2021,Odisha,4-Wheelers,3,5552
634,01-07-2021,Punjab,4-Wheelers,3,9328
635,01-07-2021,Rajasthan,4-Wheelers,52,14374
636,01-07-2021,Tamil Nadu,4-Wheelers,88,20857
637,01-07-2021,Uttar Pradesh,4-Wheelers,8,27999
638,01-07-2021,Uttarakhand,4-Wheelers,11,4182
639,01-07-2021,West Bengal,4-Wheelers,37,8919
640,01-08-2021,Andhra Pradesh,4-Wheelers,78,8245
641,01-08-2021,Assam,4-Wheelers,2,6447
642,01-08-2021,Bihar,4-Wheelers,7,5724
643,01-08-2021,Chandigarh,4-Wheelers,9,1845
644,01-08-2021,Chhattisgarh,4-Wheelers,11,4350
645,01-08-2021,Delhi,4-Wheelers,157,13177
646,01-08-2021,Goa,4-Wheelers,19,1439
647,01-08-2021,Gujarat,4-Wheelers,83,20394
648,01-08-2021,Haryana,4-Wheelers,3,16027
649,01-08-2021,Jharkhand,4-Wheelers,3,5113
650,01-08-2021,Karnataka,4-Wheelers,137,21975
651,01-08-2021,Kerala,4-Wheelers,183,22813
652,01-08-2021,Madhya Pradesh,4-Wheelers,26,12758
653,01-08-2021,Maharashtra,4-Wheelers,197,35127
654,01-08-2021,Odisha,4-Wheelers,4,5453
655,01-08-2021,Punjab,4-Wheelers,4,9209
656,01-08-2021,Rajasthan,4-Wheelers,53,11454
657,01-08-2021,Tamil Nadu,4-Wheelers,88,20865
658,01-08-2021,Uttar Pradesh,4-Wheelers,3,24012
659,01-08-2021,Uttarakhand,4-Wheelers,6,3760
660,01-08-2021,West Bengal,4-Wheelers,28,9198
661,01-09-2021,Andhra Pradesh,4-Wheelers,39,7952
662,01-09-2021,Bihar,4-Wheelers,4,4339
663,01-09-2021,Chandigarh,4-Wheelers,20,1607
664,01-09-2021,Chhattisgarh,4-Wheelers,12,3650
665,01-09-2021,Delhi,4-Wheelers,265,9181
666,01-09-2021,Goa,4-Wheelers,34,1277
667,01-09-2021,Gujarat,4-Wheelers,131,24797
668,01-09-2021,Haryana,4-Wheelers,7,14879
669,01-09-2021,Jharkhand,4-Wheelers,12,3892
670,01-09-2021,Karnataka,4-Wheelers,227,21407
671,01-09-2021,Kerala,4-Wheelers,164,22063
672,01-09-2021,Madhya Pradesh,4-Wheelers,23,11756
673,01-09-2021,Maharashtra,4-Wheelers,148,27900
674,01-09-2021,Odisha,4-Wheelers,2,4865
675,01-09-2021,Puducherry,4-Wheelers,2,640
676,01-09-2021,Punjab,4-Wheelers,3,7521
677,01-09-2021,Rajasthan,4-Wheelers,69,11035
678,01-09-2021,Tamil Nadu,4-Wheelers,107,18823
679,01-09-2021,Uttar Pradesh,4-Wheelers,4,23510
680,01-09-2021,Uttarakhand,4-Wheelers,10,3171
681,01-09-2021,West Bengal,4-Wheelers,34,9437
682,01-10-2021,Andhra Pradesh,4-Wheelers,37,7366
683,01-10-2021,Bihar,4-Wheelers,7,5838
684,01-10-2021,Chandigarh,4-Wheelers,12,1816
685,01-10-2021,Chhattisgarh,4-Wheelers,11,5255
686,01-10-2021,Delhi,4-Wheelers,253,12876
687,01-10-2021,Goa,4-Wheelers,28,1165
688,01-10-2021,Gujarat,4-Wheelers,104,23184
689,01-10-2021,Haryana,4-Wheelers,8,11634
690,01-10-2021,Jammu and Kashmir,4-Wheelers,2,4205
691,01-10-2021,Jharkhand,4-Wheelers,5,4806
692,01-10-2021,Karnataka,4-Wheelers,163,18505
693,01-10-2021,Kerala,4-Wheelers,158,14562
694,01-10-2021,Madhya Pradesh,4-Wheelers,20,9554
695,01-10-2021,Maharashtra,4-Wheelers,298,33771
696,01-10-2021,Odisha,4-Wheelers,2,5830
697,01-10-2021,Punjab,4-Wheelers,5,8523
698,01-10-2021,Rajasthan,4-Wheelers,86,12823
699,01-10-2021,Tamil Nadu,4-Wheelers,119,14796
700,01-10-2021,Uttar Pradesh,4-Wheelers,10,23095
701,01-10-2021,Uttarakhand,4-Wheelers,13,3523
702,01-10-2021,West Bengal,4-Wheelers,33,7120
703,01-11-2021,Andhra Pradesh,4-Wheelers,34,7374
704,01-11-2021,Bihar,4-Wheelers,11,6992
705,01-11-2021,Chandigarh,4-Wheelers,16,1919
706,01-11-2021,Chhattisgarh,4-Wheelers,14,4824
707,01-11-2021,Delhi,4-Wheelers,185,11782
708,01-11-2021,Goa,4-Wheelers,20,1293
709,01-11-2021,Gujarat,4-Wheelers,121,22396
710,01-11-2021,Haryana,4-Wheelers,13,16035
711,01-11-2021,Jharkhand,4-Wheelers,8,5320
712,01-11-2021,Karnataka,4-Wheelers,153,17247
713,01-11-2021,Kerala,4-Wheelers,214,15244
714,01-11-2021,Madhya Pradesh,4-Wheelers,31,12871
715,01-11-2021,Maharashtra,4-Wheelers,515,28322
716,01-11-2021,Odisha,4-Wheelers,18,5095
717,01-11-2021,Punjab,4-Wheelers,3,9015
718,01-11-2021,Rajasthan,4-Wheelers,79,16115
719,01-11-2021,Tamil Nadu,4-Wheelers,108,15533
720,01-11-2021,Uttar Pradesh,4-Wheelers,10,29608
721,01-11-2021,Uttarakhand,4-Wheelers,12,3954
722,01-11-2021,West Bengal,4-Wheelers,59,8836
723,01-12-2021,Andhra Pradesh,4-Wheelers,31,6314
724,01-12-2021,Assam,4-Wheelers,3,6737
725,01-12-2021,Bihar,4-Wheelers,7,5031
726,01-12-2021,Chandigarh,4-Wheelers,12,1985
727,01-12-2021,Chhattisgarh,4-Wheelers,5,3651
728,01-12-2021,Delhi,4-Wheelers,277,12633
729,01-12-2021,Goa,4-Wheelers,19,1306
730,01-12-2021,Gujarat,4-Wheelers,163,24277
731,01-12-2021,Haryana,4-Wheelers,11,16015
732,01-12-2021,Jharkhand,4-Wheelers,3,4258
733,01-12-2021,Karnataka,4-Wheelers,153,16243
734,01-12-2021,Kerala,4-Wheelers,186,16994
735,01-12-2021,Madhya Pradesh,4-Wheelers,30,11820
736,01-12-2021,Maharashtra,4-Wheelers,1392,29346
737,01-12-2021,Odisha,4-Wheelers,20,4634
738,01-12-2021,Puducherry,4-Wheelers,2,608
739,01-12-2021,Punjab,4-Wheelers,6,10624
740,01-12-2021,Rajasthan,4-Wheelers,73,12739
741,01-12-2021,Tamil Nadu,4-Wheelers,121,17001
742,01-12-2021,Uttar Pradesh,4-Wheelers,21,33774
743,01-12-2021,Uttarakhand,4-Wheelers,38,4270
744,01-12-2021,West Bengal,4-Wheelers,39,8452
745,01-01-2022,Andhra Pradesh,4-Wheelers,29,8418
746,01-01-2022,Bihar,4-Wheelers,10,5538
747,01-01-2022,Chandigarh,4-Wheelers,7,1519
748,01-01-2022,Chhattisgarh,4-Wheelers,11,4667
749,01-01-2022,Delhi,4-Wheelers,282,13659
750,01-01-2022,Goa,4-Wheelers,26,1185
751,01-01-2022,Gujarat,4-Wheelers,97,21963
752,01-01-2022,Haryana,4-Wheelers,26,17633
753,01-01-2022,Himachal Pradesh,4-Wheelers,3,3090
754,01-01-2022,Jharkhand,4-Wheelers,5,4345
755,01-01-2022,Karnataka,4-Wheelers,209,21967
756,01-01-2022,Kerala,4-Wheelers,212,17441
757,01-01-2022,Madhya Pradesh,4-Wheelers,25,11325
758,01-01-2022,Maharashtra,4-Wheelers,263,35772
759,01-01-2022,Odisha,4-Wheelers,27,5876
760,01-01-2022,Punjab,4-Wheelers,7,9792
761,01-01-2022,Rajasthan,4-Wheelers,92,13658
762,01-01-2022,Tamil Nadu,4-Wheelers,121,20494
763,01-01-2022,Uttar Pradesh,4-Wheelers,14,32561
764,01-01-2022,Uttarakhand,4-Wheelers,30,4241
765,01-01-2022,West Bengal,4-Wheelers,54,7968
766,01-02-2022,Andhra Pradesh,4-Wheelers,43,6361
767,01-02-2022,Assam,4-Wheelers,3,6152
768,01-02-2022,Bihar,4-Wheelers,8,5658
769,01-02-2022,Chandigarh,4-Wheelers,11,1941
770,01-02-2022,Chhattisgarh,4-Wheelers,20,3922
771,01-02-2022,Delhi,4-Wheelers,298,12608
772,01-02-2022,Goa,4-Wheelers,62,1160
773,01-02-2022,Gujarat,4-Wheelers,128,24012
774,01-02-2022,Haryana,4-Wheelers,28,16353
775,01-02-2022,Himachal Pradesh,4-Wheelers,5,3616
776,01-02-2022,Jammu and Kashmir,4-Wheelers,7,4679
777,01-02-2022,Jharkhand,4-Wheelers,4,4335
778,01-02-2022,Karnataka,4-Wheelers,202,17561
779,01-02-2022,Kerala,4-Wheelers,327,14575
780,01-02-2022,Madhya Pradesh,4-Wheelers,22,11274
781,01-02-2022,Maharashtra,4-Wheelers,905,31805
782,01-02-2022,Odisha,4-Wheelers,27,5023
783,01-02-2022,Punjab,4-Wheelers,5,9464
784,01-02-2022,Rajasthan,4-Wheelers,116,14811
785,01-02-2022,Tamil Nadu,4-Wheelers,135,16711
786,01-02-2022,Uttar Pradesh,4-Wheelers,22,28479
787,01-02-2022,Uttarakhand,4-Wheelers,24,3820
788,01-02-2022,West Bengal,4-Wheelers,45,7395
789,01-03-2022,Andaman & Nicobar Island,4-Wheelers,2,108
790,01-03-2022,Andhra Pradesh,4-Wheelers,55,7288
791,01-03-2022,Assam,4-Wheelers,2,7281
792,01-03-2022,Bihar,4-Wheelers,12,6694
793,01-03-2022,Chandigarh,4-Wheelers,14,2279
794,01-03-2022,Chhattisgarh,4-Wheelers,19,4200
795,01-03-2022,Delhi,4-Wheelers,220,13385
796,01-03-2022,Goa,4-Wheelers,91,1474
797,01-03-2022,Gujarat,4-Wheelers,249,26077
798,01-03-2022,Haryana,4-Wheelers,13,18621
799,01-03-2022,Himachal Pradesh,4-Wheelers,3,3371
800,01-03-2022,Jammu and Kashmir,4-Wheelers,4,4854
801,01-03-2022,Jharkhand,4-Wheelers,5,5062
802,01-03-2022,Karnataka,4-Wheelers,230,22167
803,01-03-2022,Kerala,4-Wheelers,331,16628
804,01-03-2022,Madhya Pradesh,4-Wheelers,35,11616
805,01-03-2022,Maharashtra,4-Wheelers,2060,39762
806,01-03-2022,Odisha,4-Wheelers,31,6098
807,01-03-2022,Puducherry,4-Wheelers,3,817
808,01-03-2022,Punjab,4-Wheelers,4,10836
809,01-03-2022,Rajasthan,4-Wheelers,89,13751
810,01-03-2022,Tamil Nadu,4-Wheelers,168,20604
811,01-03-2022,Uttar Pradesh,4-Wheelers,18,29324
812,01-03-2022,Uttarakhand,4-Wheelers,20,4026
813,01-03-2022,West Bengal,4-Wheelers,41,8539
814,01-04-2022,Andhra Pradesh,4-Wheelers,54,7195
815,01-04-2022,Assam,4-Wheelers,2,6354
816,01-04-2022,Bihar,4-Wheelers,8,5981
817,01-04-2022,Chandigarh,4-Wheelers,12,2167
818,01-04-2022,Chhattisgarh,4-Wheelers,20,4861
819,01-04-2022,Delhi,4-Wheelers,566,15811
820,01-04-2022,Goa,4-Wheelers,31,1390
821,01-04-2022,Gujarat,4-Wheelers,171,26534
822,01-04-2022,Haryana,4-Wheelers,11,16721
823,01-04-2022,Himachal Pradesh,4-Wheelers,4,3140
824,01-04-2022,Jammu and Kashmir,4-Wheelers,3,4468
825,01-04-2022,Jharkhand,4-Wheelers,9,4564
826,01-04-2022,Karnataka,4-Wheelers,311,24129
827,01-04-2022,Kerala,4-Wheelers,275,16142
828,01-04-2022,Madhya Pradesh,4-Wheelers,37,11896
829,01-04-2022,Maharashtra,4-Wheelers,354,32449
830,01-04-2022,Odisha,4-Wheelers,31,5448
831,01-04-2022,Puducherry,4-Wheelers,2,702
832,01-04-2022,Punjab,4-Wheelers,3,10147
833,01-04-2022,Rajasthan,4-Wheelers,87,15176
834,01-04-2022,Tamil Nadu,4-Wheelers,154,17499
835,01-04-2022,Uttar Pradesh,4-Wheelers,11,32173
836,01-04-2022,Uttarakhand,4-Wheelers,49,4116
837,01-04-2022,West Bengal,4-Wheelers,40,8560
838,01-05-2022,Andhra Pradesh,4-Wheelers,59,6927
839,01-05-2022,Assam,4-Wheelers,7,6761
840,01-05-2022,Bihar,4-Wheelers,12,6495
841,01-05-2022,Chandigarh,4-Wheelers,20,2248
842,01-05-2022,Chhattisgarh,4-Wheelers,24,4397
843,01-05-2022,Delhi,4-Wheelers,750,15194
844,01-05-2022,Goa,4-Wheelers,51,1360
845,01-05-2022,Gujarat,4-Wheelers,163,23174
846,01-05-2022,Haryana,4-Wheelers,31,18343
847,01-05-2022,Himachal Pradesh,4-Wheelers,3,3778
848,01-05-2022,Jammu and Kashmir,4-Wheelers,2,4775
849,01-05-2022,Jharkhand,4-Wheelers,3,4306
850,01-05-2022,Karnataka,4-Wheelers,241,20924
851,01-05-2022,Kerala,4-Wheelers,258,15706
852,01-05-2022,Madhya Pradesh,4-Wheelers,43,14017
853,01-05-2022,Maharashtra,4-Wheelers,794,34222
854,01-05-2022,Meghalaya,4-Wheelers,3,1051
855,01-05-2022,Odisha,4-Wheelers,40,5583
856,01-05-2022,Puducherry,4-Wheelers,2,726
857,01-05-2022,Punjab,4-Wheelers,2,9843
858,01-05-2022,Rajasthan,4-Wheelers,124,17047
859,01-05-2022,Tamil Nadu,4-Wheelers,202,19368
860,01-05-2022,Uttar Pradesh,4-Wheelers,26,30695
861,01-05-2022,Uttarakhand,4-Wheelers,22,3948
862,01-05-2022,West Bengal,4-Wheelers,76,8341
863,01-06-2022,Andhra Pradesh,4-Wheelers,47,6652
864,01-06-2022,Assam,4-Wheelers,9,5825
865,01-06-2022,Bihar,4-Wheelers,16,5543
866,01-06-2022,Chandigarh,4-Wheelers,19,1993
867,01-06-2022,Chhattisgarh,4-Wheelers,32,3933
868,01-06-2022,DNH and DD,4-Wheelers,4,369
869,01-06-2022,Delhi,4-Wheelers,267,14908
870,01-06-2022,Goa,4-Wheelers,74,1342
871,01-06-2022,Gujarat,4-Wheelers,337,26192
872,01-06-2022,Haryana,4-Wheelers,26,17365
873,01-06-2022,Himachal Pradesh,4-Wheelers,2,3457
874,01-06-2022,Jammu and Kashmir,4-Wheelers,4,4239
875,01-06-2022,Jharkhand,4-Wheelers,19,4097
876,01-06-2022,Karnataka,4-Wheelers,359,22817
877,01-06-2022,Kerala,4-Wheelers,345,16486
878,01-06-2022,Madhya Pradesh,4-Wheelers,42,12480
879,01-06-2022,Maharashtra,4-Wheelers,1082,35587
880,01-06-2022,Odisha,4-Wheelers,32,5778
881,01-06-2022,Puducherry,4-Wheelers,9,808
882,01-06-2022,Punjab,4-Wheelers,3,9388
883,01-06-2022,Rajasthan,4-Wheelers,136,13559
884,01-06-2022,Tamil Nadu,4-Wheelers,199,20592
885,01-06-2022,Uttar Pradesh,4-Wheelers,17,27820
886,01-06-2022,Uttarakhand,4-Wheelers,38,3959
887,01-06-2022,West Bengal,4-Wheelers,91,8407
888,01-07-2022,Andhra Pradesh,4-Wheelers,63,6757
889,01-07-2022,Assam,4-Wheelers,11,6769
890,01-07-2022,Bihar,4-Wheelers,10,5215
891,01-07-2022,Chandigarh,4-Wheelers,21,2709
892,01-07-2022,Chhattisgarh,4-Wheelers,29,4394
893,01-07-2022,Delhi,4-Wheelers,438,16056
894,01-07-2022,Goa,4-Wheelers,107,1545
895,01-07-2022,Gujarat,4-Wheelers,308,24735
896,01-07-2022,Haryana,4-Wheelers,135,17539
897,01-07-2022,Himachal Pradesh,4-Wheelers,6,3618
898,01-07-2022,Jammu and Kashmir,4-Wheelers,9,4577
899,01-07-2022,Jharkhand,4-Wheelers,7,4187
900,01-07-2022,Karnataka,4-Wheelers,358,19322
901,01-07-2022,Kerala,4-Wheelers,292,14993
902,01-07-2022,Madhya Pradesh,4-Wheelers,45,11437
903,01-07-2022,Maharashtra,4-Wheelers,1098,35100
904,01-07-2022,Meghalaya,4-Wheelers,2,1053
905,01-07-2022,Odisha,4-Wheelers,29,5336
906,01-07-2022,Puducherry,4-Wheelers,5,681
907,01-07-2022,Punjab,4-Wheelers,7,9415
908,01-07-2022,Rajasthan,4-Wheelers,102,12817
909,01-07-2022,Tamil Nadu,4-Wheelers,176,17830
910,01-07-2022,Uttar Pradesh,4-Wheelers,19,27276
911,01-07-2022,Uttarakhand,4-Wheelers,34,3820
912,01-07-2022,West Bengal,4-Wheelers,93,8312
913,01-08-2022,Andhra Pradesh,4-Wheelers,64,7491
914,01-08-2022,Assam,4-Wheelers,10,6733
915,01-08-2022,Bihar,4-Wheelers,15,5012
916,01-08-2022,Chandigarh,4-Wheelers,19,1903
917,01-08-2022,Chhattisgarh,4-Wheelers,35,3974
918,01-08-2022,Delhi,4-Wheelers,443,16315
919,01-08-2022,Goa,4-Wheelers,44,2364
920,01-08-2022,Gujarat,4-Wheelers,230,23571
921,01-08-2022,Haryana,4-Wheelers,163,18545
922,01-08-2022,Himachal Pradesh,4-Wheelers,2,3517
923,01-08-2022,Jammu and Kashmir,4-Wheelers,3,4299
924,01-08-2022,Jharkhand,4-Wheelers,15,4040
925,01-08-2022,Karnataka,4-Wheelers,363,23924
926,01-08-2022,Kerala,4-Wheelers,342,21051
927,01-08-2022,Ladakh,4-Wheelers,9,269
928,01-08-2022,Madhya Pradesh,4-Wheelers,72,15953
929,01-08-2022,Maharashtra,4-Wheelers,992,40173
930,01-08-2022,Odisha,4-Wheelers,43,5716
931,01-08-2022,Puducherry,4-Wheelers,4,758
932,01-08-2022,Punjab,4-Wheelers,3,9913
933,01-08-2022,Rajasthan,4-Wheelers,145,12578
934,01-08-2022,Tamil Nadu,4-Wheelers,182,20944
935,01-08-2022,Uttar Pradesh,4-Wheelers,15,25778
936,01-08-2022,Uttarakhand,4-Wheelers,34,3599
937,01-08-2022,West Bengal,4-Wheelers,110,9228
938,01-09-2022,Andhra Pradesh,4-Wheelers,61,8003
939,01-09-2022,Assam,4-Wheelers,13,8690
940,01-09-2022,Bihar,4-Wheelers,14,5315
941,01-09-2022,Chandigarh,4-Wheelers,26,2119
942,01-09-2022,Chhattisgarh,4-Wheelers,50,3978
943,01-09-2022,Delhi,4-Wheelers,471,14076
944,01-09-2022,Goa,4-Wheelers,42,1687
945,01-09-2022,Gujarat,4-Wheelers,299,25102
946,01-09-2022,Haryana,4-Wheelers,49,14140
947,01-09-2022,Himachal Pradesh,4-Wheelers,4,2815
948,01-09-2022,Jammu and Kashmir,4-Wheelers,4,4432
949,01-09-2022,Jharkhand,4-Wheelers,31,4183
950,01-09-2022,Karnataka,4-Wheelers,493,25136
951,01-09-2022,Kerala,4-Wheelers,397,19551
952,01-09-2022,Madhya Pradesh,4-Wheelers,61,11080
953,01-09-2022,Maharashtra,4-Wheelers,939,33643
954,01-09-2022,Meghalaya,4-Wheelers,2,1047
955,01-09-2022,Odisha,4-Wheelers,40,5941
956,01-09-2022,Puducherry,4-Wheelers,2,858
957,01-09-2022,Punjab,4-Wheelers,4,8968
958,01-09-2022,Rajasthan,4-Wheelers,150,12513
959,01-09-2022,Tamil Nadu,4-Wheelers,218,21233
960,01-09-2022,Uttar Pradesh,4-Wheelers,23,22777
961,01-09-2022,Uttarakhand,4-Wheelers,29,3066
