Sl.no,Date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
115,01-05-2021,Odisha,4-Wheelers,0,722
116,01-05-2021,Punjab,4-Wheelers,0,5202
117,01-05-2021,Tripura,2-Wheelers,0,2063
118,01-05-2021,Tripura,4-Wheelers,0,192
119,01-05-2021,Uttarakhand,4-Wheelers,0,1145
120,01-06-2021,Andaman & Nicobar Island,2-Wheelers,0,2
121,01-06-2021,Arunachal Pradesh,2-Wheelers,0,727
122,01-06-2021,Arunachal Pradesh,4-Wheelers,0,565
123,01-06-2021,Ladakh,2-Wheelers,0,3
124,01-06-2021,Ladakh,4-Wheelers,0,112
125,01-06-2021,Manipur,2-Wheelers,0,89
126,01-06-2021,Manipur,4-Wheelers,0,18
127,01-06-2021,Meghalaya,2-Wheelers,0,354
128,01-06-2021,Meghalaya,4-Wheelers,0,246
129,01-06-2021,Mizoram,2-Wheelers,0,648
130,01-06-2021,Mizoram,4-Wheelers,0,298
131,01-06-2021,Nagaland,2-Wheelers,0,42
132,01-06-2021,Nagaland,4-Wheelers,0,54
133,01-06-2021,Puducherry,4-Wheelers,0,445
134,01-06-2021,Tripura,4-Wheelers,0,185
135,01-07-2021,Andaman & Nicobar Island,2-Wheelers,0,467
136,01-07-2021,Arunachal Pradesh,2-Wheelers,0,994
137,01-07-2021,Arunachal Pradesh,4-Wheelers,0,661
138,01-07-2021,Assam,4-Wheelers,0,4988
139,01-07-2021,DNH and DD,4-Wheelers,0,276
140,01-07-2021,Ladakh,2-Wheelers,0,51
141,01-07-2021,Ladakh,4-Wheelers,0,552
142,01-07-2021,Manipur,2-Wheelers,0,474
143,01-07-2021,Manipur,4-Wheelers,0,68
144,01-07-2021,Meghalaya,2-Wheelers,0,726
145,01-07-2021,Mizoram,2-Wheelers,0,1096
146,01-07-2021,Mizoram,4-Wheelers,0,219
147,01-07-2021,Nagaland,2-Wheelers,0,583
148,01-07-2021,Nagaland,4-Wheelers,0,1039
149,01-07-2021,Puducherry,4-Wheelers,0,866
150,01-07-2021,Tripura,2-Wheelers,0,2211
151,01-07-2021,Tripura,4-Wheelers,0,352
152,01-08-2021,Andaman & Nicobar Island,2-Wheelers,0,406
153,01-08-2021,Arunachal Pradesh,2-Wheelers,0,1126
154,01-08-2021,Arunachal Pradesh,4-Wheelers,0,758
