Sl.No,Date,vehicle_category,maker,electric_vehicles_sold
810,01-03-2024,2-Wheelers,HERO ELECTRIC,316
299,01-01-2023,4-Wheelers,MG Motor,313
764,01-02-2023,2-Wheelers,JITENDRA,308
177,01-08-2021,4-Wheelers,MG Motor,303
375,01-04-2021,2-Wheelers,TVS,302
445,01-06-2021,2-Wheelers,AMPERE,299
550,01-08-2023,2-Wheelers,BATTRE ELECTRIC,287
737,01-01-2024,2-Wheelers,BATTRE ELECTRIC,284
600,01-10-2021,2-Wheelers,JITENDRA,283
200,01-09-2021,4-Wheelers,Mahindra & Mahindra,276
637,01-11-2021,2-Wheelers,JITENDRA,273
102,01-04-2023,4-Wheelers,MG Motor,265
199,01-09-2021,4-Wheelers,MG Motor,263
324,01-02-2023,4-Wheelers,MG Motor,261
416,01-05-2021,2-Wheelers,OTHERS,260
587,01-09-2023,2-Wheelers,BATTRE ELECTRIC,255
149,01-06-2023,4-Wheelers,PCA Automobiles,254
127,01-05-2023,4-Wheelers,PCA Automobiles,245
407,01-05-2021,2-Wheelers,OKINAWA,245
699,01-12-2023,2-Wheelers,BATTRE ELECTRIC,241
670,01-12-2021,2-Wheelers,OLA ELECTRIC,240
182,01-08-2022,4-Wheelers,MG Motor,234
155,01-07-2021,4-Wheelers,MG Motor,232
588,01-09-2023,2-Wheelers,KINETIC GREEN,231
514,01-07-2023,2-Wheelers,KINETIC GREEN,229
624,01-10-2023,2-Wheelers,BATTRE ELECTRIC,227
775,01-02-2024,2-Wheelers,BATTRE ELECTRIC,219
263,01-11-2023,4-Wheelers,BMW India,215
489,01-07-2021,2-Wheelers,JITENDRA,212
448,01-06-2021,2-Wheelers,TVS,208
526,01-08-2021,2-Wheelers,JITENDRA,208
204,01-09-2022,4-Wheelers,MG Motor,207
178,01-08-2021,4-Wheelers,Mahindra & Mahindra,204
477,01-06-2023,2-Wheelers,KINETIC GREEN,201
451,01-06-2021,2-Wheelers,BEING,198
160,01-07-2022,4-Wheelers,MG Motor,194
221,01-10-2021,4-Wheelers,MG Motor,194
475,01-06-2023,2-Wheelers,BGAUSS,189
106,01-04-2023,4-Wheelers,PCA Automobiles,181
116,01-05-2022,4-Wheelers,MG Motor,181
95,01-04-2022,4-Wheelers,MG Motor,177
450,01-06-2021,2-Wheelers,BAJAJ,176
326,01-02-2023,4-Wheelers,BYD India,174
138,01-06-2022,4-Wheelers,MG Motor,173
91,01-04-2021,4-Wheelers,Mahindra & Mahindra,171
156,01-07-2021,4-Wheelers,Mahindra & Mahindra,171
378,01-04-2021,2-Wheelers,BEING,171
406,01-05-2021,2-Wheelers,HERO ELECTRIC,170
171,01-07-2023,4-Wheelers,PCA Automobiles,169
